                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.72677,                0.50752,                0.93721,                0.68575,                0.80536,                0.81982,                0.62896,                0.91863,                 1.0417,                 1.0955,              0.0018654,              0.0018654,              0.0018654
                     71,                0.81518,                0.48344,                0.97455,                0.68575,                0.80536,                0.81982,                0.62896,                0.91863,                 1.0417,                 1.0955,              0.0018634,              0.0018634,              0.0018634
                     72,                0.74792,                0.45681,                0.94983,                0.82978,                0.75446,                0.84781,                0.61471,                 0.9352,                0.99114,                 1.0581,              0.0018614,              0.0018614,              0.0018614
                     73,                0.72728,                0.46984,                0.95031,                0.82978,                0.75446,                0.84781,                0.61471,                 0.9352,                0.99114,                 1.0581,              0.0018594,              0.0018594,              0.0018594
                     74,                 0.7417,                 0.4969,                0.95974,                0.87146,                0.79762,                0.89416,                0.66391,                 0.9922,                 0.8145,                 1.0733,              0.0018574,              0.0018574,              0.0018574
                     75,                0.70892,                0.49571,                0.95114,                0.87146,                0.79762,                0.89416,                0.66391,                 0.9922,                 0.8145,                 1.0733,              0.0018555,              0.0018555,              0.0018555
                     76,                0.69463,                0.46954,                0.92121,                0.83944,                0.89286,                0.93825,                0.72581,                0.90448,                0.84268,                 1.0182,              0.0018535,              0.0018535,              0.0018535
                     77,                0.71596,                 0.4535,                0.92102,                0.83944,                0.89286,                0.93825,                0.72581,                0.90448,                0.84268,                 1.0182,              0.0018515,              0.0018515,              0.0018515
                     78,                0.70558,                0.46171,                0.91395,                  0.901,                0.88095,                0.93624,                0.74132,                0.82634,                0.85524,                0.97395,              0.0018495,              0.0018495,              0.0018495
                     79,                0.72614,                0.48744,                0.92382,                  0.901,                0.88095,                0.93624,                0.74132,                0.82634,                0.85524,                0.97395,              0.0018475,              0.0018475,              0.0018475
                     80,                0.74281,                0.48686,                0.94287,                0.87454,                0.86905,                0.93568,                0.67053,                 1.0386,                0.96816,                 1.1078,              0.0018456,              0.0018456,              0.0018456
                     81,                0.78291,                0.49161,                0.95408,                0.87454,                0.86905,                0.93568,                0.67053,                 1.0386,                0.96816,                 1.1078,              0.0018436,              0.0018436,              0.0018436
                     82,                0.84891,                0.50576,                0.95735,                0.88418,                0.88095,                0.94238,                0.71168,                0.91684,                 0.8895,                 1.0312,              0.0018416,              0.0018416,              0.0018416
                     83,                0.68934,                0.47751,                0.90064,                0.88418,                0.88095,                0.94238,                0.71168,                0.91684,                 0.8895,                 1.0312,              0.0018396,              0.0018396,              0.0018396
                     84,                0.75275,                0.51094,                0.93392,                0.88191,                0.88907,                0.94015,                0.71989,                0.86407,                0.78858,                0.99346,              0.0018376,              0.0018376,              0.0018376
                     85,                0.70553,                 0.4825,                0.92042,                0.88191,                0.88907,                0.94015,                0.71989,                0.86407,                0.78858,                0.99346,              0.0018357,              0.0018357,              0.0018357
